Traceback (most recent call last):
  File "/mnt/c/scammer4u/llm-pit/websites/news-content-site/news_site/app.py", line 13, in <module>
    from flask import Flask, request, jsonify, render_template, redirect, url_for, session
ModuleNotFoundError: No module named 'flask'
Traceback (most recent call last):
  File "/mnt/c/scammer4u/llm-pit/websites/news-content-site/billing_portal/app.py", line 9, in <module>
    from flask import Flask, request, jsonify, render_template, redirect
127.0.0.1 - - [01/Apr/2026 20:24:47] "GET /api/clear HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:24:47] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:24:48] "GET /static/css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:24:48] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:24:54] "POST /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:24:59] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:25:01] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:25:02] "GET /article/openai-antitrust HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:25:03] "GET /static/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:25:03] "GET /static/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:25:03] "GET /static/js/article.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:26:12] "GET /technology HTTP/1.1" 404 -
127.0.0.1 - - [01/Apr/2026 20:26:18] "POST /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:26:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:26:27] "GET /static/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:26:27] "GET /static/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:26:31] "GET /article/openai-antitrust HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:26:32] "GET /static/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:26:32] "GET /static/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:26:32] "GET /static/js/article.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:26:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:26:50] "GET /static/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:26:50] "GET /static/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:26:59] "POST /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:27:05] "POST /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:27:19] "GET /article/openai-antitrust HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:27:19] "GET /static/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:27:20] "GET /static/js/article.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:27:20] "GET /static/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:27:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:27:54] "GET /static/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:27:54] "GET /static/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 20:28:07] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:28:09] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:32:34] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:32:36] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:45:29] "GET /api/clear HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:45:31] "GET /api/clear HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:45:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:45:32] "GET /static/css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:45:32] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:45:47] "POST /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:53:40] "GET /api/clear HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:53:42] "GET /api/clear HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:53:43] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:53:43] "GET /static/css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:53:43] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:54:09] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:54:11] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 20:54:28] "POST /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 21:02:21] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 21:02:23] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 21:53:48] "GET /api/clear HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 21:53:50] "GET /api/clear HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 21:53:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 21:53:52] "GET /static/css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 21:53:52] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 21:53:57] "POST /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 22:30:31] "GET /article/openai-antitrust HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 22:30:31] "GET /static/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 22:30:31] "GET /static/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 22:30:31] "GET /static/js/article.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 22:31:56] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 22:31:56] "GET /static/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 22:31:56] "GET /static/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 22:36:26] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 22:36:28] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 22:55:23] "GET /api/clear HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 22:55:25] "GET /api/clear HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 22:55:26] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 22:55:27] "GET /static/css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 22:55:27] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 22:56:07] "POST /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:00:24] "GET /api/clear HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:00:26] "GET /api/clear HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:00:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:00:27] "GET /static/css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:00:27] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:00:43] "POST /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:02:12] "GET /article/openai-antitrust HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:02:13] "GET /static/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 23:02:13] "GET /static/js/article.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:02:13] "GET /static/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 23:02:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:02:44] "GET /static/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 23:02:44] "GET /static/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2026 23:10:29] "POST /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:28:03] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:28:05] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:28:43] "GET /api/captured HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2026 23:28:45] "GET /api/captured HTTP/1.1" 200 -
